Modelo_Original,Modelo_Padrao,Grupo
11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180 DRC 4X2,Caminhão6Ton
13-180 DELIVERY 6X2 2P (DIESEL)(E5),VW 13 180 DRC,Caminhão9Ton
14-190 CONSTELLATION 2P (DIESEL)(E5),VW 14 190,Caminhão7.5Ton
14-210 CONSTELLATION 4X2 2P (DIESEL)(E6),VW 14 210,Caminhão7.5Ton
17-210 CONSTELLATION 4X2 2P (DIESEL)(E6),VW 17 210,Caminhão10.5Ton
17-230 WORKER 2P (DIESEL)(E5),VW 17 230 CRM,Caminhão10.5Ton
208 ACTIVE 1.6 FLEX 16V 5P AUT.,PEUGEOT,Leve
24-280 E CONSTEL. 6X2 2P (DIESEL)(E5),VW 24 280,Caminhão12Ton
24-280 E CONSTEL. 8X2 2P (DIESEL)(E5),VW 24 280,Caminhão12Ton
26-260 CONSTELLATION 6X2 2P (DIESEL)(E6),VOLVO VM 290,Caminhão12Ton
30-280 CONSTELLATION 8X2 2P (DIESEL)(E5),VW 30 280,Caminhão17Ton
30-330 CONSTELLATION 8X2 2P (DIESEL)(E5),VOLVO VM 330,Caminhão17Ton
8-160 E DELIVERY 2P (DIESEL)(E5),VW 8  160,Caminhão4.2Ton
9-170 DELIVERY 2P (DIESEL)(E5),VW 9 170,Caminhão5Ton
ACCELO 1016 2P (DIESEL) (E5),MB ACCELO 1016,Caminhão5.5Ton
ACCELO 1017 4X2 2P (DIESEL) (E6),MB ACCELO 1017,Caminhão5.5Ton
ACCELO 815 2P (DIESEL) (E5),MB ACELLO 815,Caminhão4.2Ton
ACCELO 817 4X2 2P (DIESEL)(E6),MB ACCELO 817,Caminhão4.2Ton
ARGO 1.0 6V FLEX.,FIAT ARGO,Leve
ATEGO 1419 4X2 2P (DIESEL)(E6),MB ATEGO 1419,Caminhão9Ton
ATEGO 1719 4X2 2P (DIESEL)(E6),MB ATEGO 1719,Caminhão10.5Ton
ATEGO 2429 6X2 2P (DIESEL)(E6),MB ATEGO 2430,Caminhão12Ton
CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423,Caminhão12Ton
CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,Caminhão4.2Ton
CG 160 FAN ESDI FLEXONE,CG 160,Moto
CG 160 START,CG 160,Moto
CRONOS DRIVE 1.0 6V FLEX,FIAT CRONOS,Leve
DUCATO CARGO 2.8 CURTO/LONGO TB DIESEL,FIAT DUCATO,Pesado
DUCATO CARGO CURTO 2.3 16V DIESEL,FIAT DUCATO,Pesado
DUCATO CARGO MÉDIO 2.3 16V DIESEL,FIAT DUCATO,Pesado
DUCATO CHASSI 2.3 16V DIESEL,FIAT DUCATO CHASSI,Pesado
DUCATO MAXICARGO 2.3 16V DIESEL,FIAT DUCATO,Pesado
DUSTER OROCH EXPRESS 1.6 FLEX 16V MEC.,RENAULT OROCH,Médio
FIORINO ENDURANCE 1.3 FLEX 8V 2P,FIAT FIORINO,Médio
FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,Médio
FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,Médio
GOL 1.0 FLEX 12V 5P,VW GOL 1 0,Leve
GOL 1.0 TREND/ POWER 8V 4P,VW GOL 1 0,Leve
GOL 1.6 MI POWER TOTAL FLEX 8V 4P,VW GOL 1 6,Leve
GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,Leve
HD80 3.0 16V (DIESEL)(E5),HY HD80,Caminhão4.2Ton
HR 2.5 TCI DIESEL (RS/RD),HY HR,Pesado
KOMBI FURGÃO 1.4 MI TOTAL FLEX 8V,VW KOMBI,Kombi
KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW KOMBI,Kombi
MASTER 2.3 DCI CHASSI 16V DIESEL,RENAULT MASTER CHASSI,Pesado
MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,Pesado
MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,Pesado
MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,Pesado
MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,Pesado
ONIX HATCH 1.0 12V FLEX 5P MEC.,ONIX 1 0,Leve
ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,Leve
ONIX HATCH LT 1.0 12V FLEX 5P MEC.,GM ONIX,Leve
ONIX SEDAN PLUS LT 1.0 12V TB FLEX MEC.,ONIX 1 0,Leve
PARTNER RAPID BUSIN. PACK 1.4 FLEX MEC.,PEUGEOT,Médio
PARTNER RAPID BUSIN.1.4 FLEX MEC.,PEUGEOT,Médio
POLO 1.0 MPI FLEX 12V 5P,VW POLO,Leve
POLO TRACK 1.0 FLEX 12V 5P,VW POLO,Leve
S10 PICK-UP LS 2.4 F.POWER 4X2 CS,GM S10,Pesado
S10 PICK-UP LT 2.8 TDI 4X4 CD DIESEL AUT,GM S10 LT,Pesado
S10 PICK-UP LTZ 2.5 FLEX 4X2 CD,GM S10,Pesado
SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,Médio
SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,Médio
SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,MB SPRINTER,Pesado
SPIN PREMIER 1.8 8V ECONO.FLEX 5P AUT.,GM SPIN,Leve
SPRINTER 311 STREET STD. 2.2 16LUG. DIES,MB SPRINTER,Pesado
SPRINTER 313 FURGÃO LONGO 2.2 129CV DIES,MB SPRINTER,Pesado
SPRINTER 313 VAN STREET STD. 16L. DIES.,MB SPRINTER,Pesado
SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER,Pesado
SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,Pesado
